Handle,Title,Vendor,Product Type,Tags,Variant SKU,Variant Price,Image Src,Description,Category
huile-argan-maroc,Huile d'Argan du Maroc 100ml,BioNaturel,Oils,"huile,argan,cheveux,soin",ARG-100,12.90,,Huile d'argan pure pour cheveux et peau,Oils
shampoo-sulfate-free,Shampoo Without Sulfate Curly Hair,CurlsLab,Haircare,"shampoo,curly,sulfate-free,cheveux bouclés",SHP-CL-250,9.90,,Shampoing sans sulfate pour boucles,Haircare
creme-beurre-karite,Crème au Beurre de Karité Corps,ShaeGlow,Skincare,"beurre karité,corps,hydratation,peau sèche",BK-200,8.50,,Crème hydratante au karité,Skincare
castor-oil-jamaican,Jamaican Black Castor Oil 240ml,TropiCare,Oils,"castor oil,jamaican,hair growth,huile ricin",JBC-240,14.90,,Huile de ricin jamaïcaine noire,Oils
perruque-lace-bob,Lace Front Wig Bob 14inch,HairQueen,Wigs,"wig,lace front,bob,perruque",WIG-BOB-14,89.00,,Perruque bob lace front,Wigs
edge-control-gel,Edge Control Maximum Hold,SleekEdge,Haircare,"edge control,gel,baby hair,bords",EDG-150,7.90,,Gel pour contrôle des bords,Haircare
savon-noir-africain,Savon Noir Africain Pur 200g,AfriSkin,Skincare,"savon noir,african black soap,peau,nettoyant",SAV-200,6.50,,Savon noir africain naturel,Skincare
masque-proteine-cheveux,Protein Hair Mask Deep Repair 300ml,RehabHair,Haircare,"protein,masque,cheveux abîmés,réparation",PHM-300,11.90,,Masque protéiné réparateur,Haircare
serum-vitamine-c,Vitamin C Brightening Serum 30ml,GlowLab,Skincare,"vitamin c,serum,brightening,éclat",VCS-30,18.90,,Sérum éclat vitamine C,Skincare
huile-menthe-poivree,Peppermint Scalp Oil 50ml,ScalpRx,Oils,"peppermint,scalp,oil,pousse cheveux",PEP-50,9.90,,Huile menthe poivrée cuir chevelu,Oils
biotin-supplements,Biotin Hair Supplement 60 capsules,VitaHair,Supplements,"biotin,supplements,cheveux,ongles",BIO-60,19.90,,Complément alimentaire biotine,Supplements beauté
twist-out-cream,Twist & Define Curl Cream 250ml,CurlKing,Haircare,"twist out,curl cream,defining,natural hair",TWC-250,12.50,,Crème définissante pour twist,Haircare
